kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI3641,Software Testing dan Quality Assurance,1/16,"Definisi kualitas, testing, error, fault, failure; verifikasi dan validasi; prinsip testing","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,2/16,Level testing; V-Model; alpha/beta testing; regression testing,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,3/16,Equivalence partitioning; boundary value analysis; decision table; state transition,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,4/16,Decision table; state transition; use case testing; pairwise testing,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,5/16,"Statement coverage, decision coverage, condition coverage, path coverage; cyclomatic complexity","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,6/16,"Test plan: scope, strategi, sumber daya, jadwal; test case: ID, deskripsi, langkah, hasil yang diharapkan","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,7/16,"Smoke test, sanity test, regression; performance (load, stress), security, usability","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,8/16,Materi Minggu 1–7,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,9/16,Regression testing; seleksi test case; otomatisasi regression; ROI otomatisasi,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,10/16,"Selenium WebDriver: setup, locator, WebDriverWait, assertion, test suite","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,11/16,"JUnit: annotation, assertion, test fixture; parameterized test; mocking (Mockito)","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,12/16,"CI/CD pipeline; Jenkins: job, pipeline, integrasi dengan Selenium/JUnit; GitLab CI","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,13/16,Siklus hidup defect; severity vs priority; JIRA workflow; laporan bug,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,14/16,"ISO 25010: functional suitability, reliability, performance efficiency, usability, security, compatibility, maintainability, portability","P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
